,MAE,RMSE,MAPE_%,R2,Bias
Feed_Temp_C,16.841752817499998,19.827632168912647,4.793091679280435,0.7244783407613611,0.9999918849999986
Feed_Flow_kg_h,14706.497529374994,17817.404056200776,2.976738178463615,0.7624002016336844,1172.1658106250002
Feed_Flow_m3_h,16.745119155000005,20.143161365387357,2.944441047427703,0.7689625448910642,0.963616364999995
Steam_Rate_kg_h,188.64375196249995,228.6515574632756,4.024342425707733,0.6052938085892356,14.168134037500028
Naphtha_Yield_%,1.21689363735625,1.5130166184769462,8.394911642574021,0.8000839888418312,-0.10387458739375008
Naphtha_Yield_kg_h,6292.9694685,7810.792207295456,8.839921308668208,0.819481941577311,-569.1807522499997
Naphtha_API,2.106269398,2.5278485688175034,3.654030088413148,0.6039263732405517,0.06138103262499968
Naphtha_RVP_bar,0.06780103530625001,0.0815209481076756,8.760212553032028,0.6321201657972251,0.0011309907187499976
Reflux_Ratio,0.06425440779375001,0.07668072299386895,2.2954421384733017,0.8136963648658707,0.004814707493749992
QLine_Duty_J_h,610368.0965624999,762047.1843128244,1.2677353663533442,0.8191124746298725,63381.3874375001
Condenser_Duty_J_h,394487.41481249954,488007.7394884747,0.9407316449469547,0.8362493098835395,-31469.99431249993
Overall_Heat_Duty_J_h,957494.1071250003,1209435.804568471,1.0626081519342068,0.8339720259149248,88602.8139999994
MEAN_ACROSS_VARS,165297.89761169069,207115.97883759355,4.162850518772891,0.7516481283855393,10094.440614817127
